Codigo Pais,Pais,Continente
LUX,Luxemburgo,Europa
MKD,Macedonia,Europa
MLT,Malta,Europa
MDA,Moldavia,Europa
MCO,Mónaco,Europa
NLD,Países Bajos,Europa
NOR,Noruega,Europa
POL,Polonia,Europa
PRT,Portugal,Europa
ROU,Rumania,Europa
SMR,San Marino,Europa
SRB,Serbia,Europa
SVK,Eslovaquia,Europa
SVN,Eslovenia,Europa
ESP,España,Europa
SWE,Suecia,Europa
CHE,Suiza,Europa
UKR,Ucrania,Europa
GBR,Reino Unido,Europa
ASM,Samoa Americana,Oceanía
AUS,Australia,Oceanía
FJI,Fiyi,Oceanía
PYF,Polinesia Francesa,Oceanía
KIR,Kiribati,Oceanía
MHL,Islas Marshall,Oceanía
FSM,Micronesia,Oceanía
NRU,Nauru,Oceanía
NCL,Nueva Caledonia,Oceanía
NZL,Nueva Zelanda,Oceanía
MNP,Islas Marianas del Norte,Oceanía
PLW,Palaos,Oceanía
PNG,Papúa Nueva Guinea,Oceanía
WSM,Samoa,Oceanía
SLB,Islas Salomón,Oceanía
TON,Tonga,Oceanía
TUV,Tuvalu,Oceanía
VUT,Vanuatu,Oceanía
