Country Code,Country,Continent
VCT,Saint Vincent and the Grenadines,America
TTO,Trinidad and Tobago,America
TCA,Turks and Caicos Islands,America
USA,United States,America
VIR,Virgin Islands,America
ASM,American Samoa,Oceania
AUS,Australia,Oceania
FJI,Fiji,Oceania
PYF,French Polynesia,Oceania
KIR,Kiribati,Oceania
MHL,Marshall Islands,Oceania
FSM,Micronesia,Oceania
NRU,Nauru,Oceania
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
MNP,Northern Mariana Islands,Oceania
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
WSM,Samoa,Oceania
SLB,Solomon Islands,Oceania
TON,Tonga,Oceania
TUV,Tuvalu,Oceania
VUT,Vanuatu,Oceania
ARG,Argentina,America
ABW,Aruba,America
BOL,Bolivia,America
BRA,Brazil,America
CHL,Chile,America
COL,Colombia,America
ECU,Ecuador,America
GUY,Guyana,America
PRY,Paraguay,America
PER,Peru,America
SUR,Suriname,America
URY,Uruguay,America
VEN,Venezuela,America
